Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
jj1 = 202, max_th = 2.429789e+00, time=2025-01-13 00:17:38 
jj1 = 439, max_th = 1.720208e+00, time=2025-01-13 00:17:56 
jj1 = 257, max_th = 2.634784e+00, time=2025-01-13 00:19:09 
jj1 = 494, max_th = 2.419205e+00, time=2025-01-13 00:21:59 
jj1 = 381, max_th = 1.983062e+00, time=2025-01-13 00:22:12 
jj1 = 493, max_th = -2.413652e-02, time=2025-01-13 00:22:24 
jj1 = 148, max_th = 1.708428e+00, time=2025-01-13 00:23:15 
jj1 = 201, max_th = 2.439255e+00, time=2025-01-13 00:24:12 
jj1 = 380, max_th = 9.956077e-01, time=2025-01-13 00:24:12 
jj1 = 256, max_th = 1.387618e+00, time=2025-01-13 00:24:26 
jj1 = 147, max_th = 2.974360e+00, time=2025-01-13 00:24:37 
jj1 = 379, max_th = 3.140326e+00, time=2025-01-13 00:24:47 
jj1 = 321, max_th = 2.223529e+00, time=2025-01-13 00:25:34 
jj1 = 81, max_th = 1.725493e+00, time=2025-01-13 00:26:28 
jj1 = 438, max_th = 1.719539e+00, time=2025-01-13 00:26:43 
jj1 = 492, max_th = 1.402676e+00, time=2025-01-13 00:27:13 
jj1 = 320, max_th = 2.625444e+00, time=2025-01-13 00:30:12 
jj1 = 80, max_th = 2.639976e+00, time=2025-01-13 00:30:41 
jj1 = 319, max_th = 9.766614e-01, time=2025-01-13 00:32:19 
jj1 = 255, max_th = 1.728151e+00, time=2025-01-13 00:33:26 
jj1 = 378, max_th = 2.207627e+00, time=2025-01-13 00:33:32 
jj1 = 200, max_th = 1.972481e+00, time=2025-01-13 00:34:25 
jj1 = 146, max_th = 1.964518e+00, time=2025-01-13 00:34:32 
jj1 = 491, max_th = 1.712330e+00, time=2025-01-13 00:35:38 
jj1 = 437, max_th = 2.217105e+00, time=2025-01-13 00:35:48 
jj1 = 199, max_th = 9.246222e-01, time=2025-01-13 00:36:16 
jj1 = 79, max_th = 1.979834e+00, time=2025-01-13 00:40:53 
jj1 = 145, max_th = 2.441695e+00, time=2025-01-13 00:41:00 
