jj1 = 202, max_th = 1.410826e+00, time=2024-12-30 16:03:36 
jj1 = 267, max_th = 1.970280e+00, time=2024-12-30 16:03:57 
jj1 = 266, max_th = -2.711629e-02, time=2024-12-30 16:04:22 
jj1 = 381, max_th = 2.210507e+00, time=2024-12-30 16:06:49 
jj1 = 327, max_th = 2.218212e+00, time=2024-12-30 16:07:15 
jj1 = 88, max_th = 2.229338e+00, time=2024-12-30 16:07:47 
jj1 = 380, max_th = 9.736349e-01, time=2024-12-30 16:08:56 
jj1 = 504, max_th = 1.411615e+00, time=2024-12-30 16:09:03 
jj1 = 146, max_th = 2.438145e+00, time=2024-12-30 16:09:10 
jj1 = 265, max_th = 1.407527e+00, time=2024-12-30 16:09:39 
jj1 = 87, max_th = 2.813094e+00, time=2024-12-30 16:10:16 
jj1 = 444, max_th = 1.982982e+00, time=2024-12-30 16:12:54 
jj1 = 201, max_th = 1.978516e+00, time=2024-12-30 16:13:48 
jj1 = 326, max_th = 1.698103e+00, time=2024-12-30 16:14:27 
jj1 = 264, max_th = 1.704382e+00, time=2024-12-30 16:17:27 
jj1 = 503, max_th = 1.720035e+00, time=2024-12-30 16:17:56 
jj1 = 145, max_th = 2.226732e+00, time=2024-12-30 16:18:30 
jj1 = 379, max_th = 1.987641e+00, time=2024-12-30 16:18:42 
jj1 = 86, max_th = 2.227357e+00, time=2024-12-30 16:19:31 
jj1 = 263, max_th = 2.803011e+00, time=2024-12-30 16:19:44 
jj1 = 200, max_th = 2.426523e+00, time=2024-12-30 16:21:02 
jj1 = 443, max_th = 1.711611e+00, time=2024-12-30 16:21:19 
jj1 = 502, max_th = 1.404898e+00, time=2024-12-30 16:23:01 
jj1 = 325, max_th = 2.218822e+00, time=2024-12-30 16:23:39 
jj1 = 144, max_th = 2.435239e+00, time=2024-12-30 16:25:17 
jj1 = 378, max_th = 2.420430e+00, time=2024-12-30 16:25:56 
jj1 = 324, max_th = 2.813852e+00, time=2024-12-30 16:26:07 
jj1 = 85, max_th = 1.698914e+00, time=2024-12-30 16:26:21 
jj1 = 501, max_th = 2.632548e+00, time=2024-12-30 16:27:31 
jj1 = 500, max_th = 3.307908e+00, time=2024-12-30 16:27:44 
jj1 = 262, max_th = 2.218084e+00, time=2024-12-30 16:28:56 
jj1 = 143, max_th = 2.633740e+00, time=2024-12-30 16:29:43 
jj1 = 199, max_th = 1.981697e+00, time=2024-12-30 16:31:11 
jj1 = 442, max_th = 1.983578e+00, time=2024-12-30 16:31:23 
jj1 = 142, max_th = 9.905834e-01, time=2024-12-30 16:31:48 
jj1 = 261, max_th = 2.624715e+00, time=2024-12-30 16:33:32 
jj1 = 499, max_th = 2.434924e+00, time=2024-12-30 16:34:38 
jj1 = 84, max_th = 1.717193e+00, time=2024-12-30 16:35:02 
jj1 = 377, max_th = 1.992488e+00, time=2024-12-30 16:35:23 
jj1 = 323, max_th = 2.226479e+00, time=2024-12-30 16:35:27 
jj1 = 198, max_th = 1.374343e+00, time=2024-12-30 16:36:42 
jj1 = 441, max_th = 2.445372e+00, time=2024-12-30 16:37:34 
jj1 = 83, max_th = 1.398416e+00, time=2024-12-30 16:39:43 
jj1 = 376, max_th = 1.403547e+00, time=2024-12-30 16:40:16 
jj1 = 141, max_th = 1.990551e+00, time=2024-12-30 16:41:26 
jj1 = 498, max_th = 2.427895e+00, time=2024-12-30 16:41:44 
jj1 = 440, max_th = 2.607245e+00, time=2024-12-30 16:42:02 
jj1 = 260, max_th = 1.979372e+00, time=2024-12-30 16:43:46 
jj1 = 259, max_th = -4.021489e-03, time=2024-12-30 16:44:11 
jj1 = 322, max_th = 2.218865e+00, time=2024-12-30 16:44:44 
jj1 = 197, max_th = 2.214464e+00, time=2024-12-30 16:45:51 
jj1 = 82, max_th = 1.720295e+00, time=2024-12-30 16:48:39 
jj1 = 375, max_th = 1.725282e+00, time=2024-12-30 16:49:18 
jj1 = 497, max_th = 1.717163e+00, time=2024-12-30 16:50:28 
jj1 = 439, max_th = 1.715222e+00, time=2024-12-30 16:50:43 
jj1 = 140, max_th = 2.228026e+00, time=2024-12-30 16:50:44 
jj1 = 374, max_th = 9.864349e-01, time=2024-12-30 16:51:23 
jj1 = 258, max_th = 1.724656e+00, time=2024-12-30 16:53:14 
jj1 = 321, max_th = 2.221654e+00, time=2024-12-30 16:54:06 
