MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 172, max_th = 1.576251e+00, time=2024-09-08 12:30:26 
jj1 = 439, max_th = 2.124148e+00, time=2024-09-08 12:30:35 
jj1 = 90, max_th = 1.197183e+00, time=2024-09-08 12:31:56 
jj1 = 327, max_th = 2.249087e+00, time=2024-09-08 12:32:57 
jj1 = 477, max_th = 2.075252e+00, time=2024-09-08 12:33:45 
jj1 = 244, max_th = 1.706748e+00, time=2024-09-08 12:35:37 
jj1 = 363, max_th = 1.878370e+00, time=2024-09-08 12:35:40 
jj1 = 521, max_th = 2.081041e+00, time=2024-09-08 12:36:03 
jj1 = 438, max_th = 2.057320e+00, time=2024-09-08 12:37:09 
jj1 = 171, max_th = 2.415617e+00, time=2024-09-08 12:37:14 
jj1 = 130, max_th = 2.012014e+00, time=2024-09-08 12:37:44 
jj1 = 285, max_th = 1.818439e+00, time=2024-09-08 12:38:12 
jj1 = 209, max_th = 1.765158e+00, time=2024-09-08 12:38:17 
jj1 = 89, max_th = 2.152214e+00, time=2024-09-08 12:39:20 
jj1 = 404, max_th = 1.638333e+00, time=2024-09-08 12:39:33 
jj1 = 362, max_th = 1.078277e+00, time=2024-09-08 12:40:21 
jj1 = 170, max_th = 1.234590e+00, time=2024-09-08 12:41:42 
jj1 = 243, max_th = 2.032720e+00, time=2024-09-08 12:43:20 
jj1 = 326, max_th = 1.817317e+00, time=2024-09-08 12:43:40 
jj1 = 129, max_th = 2.447022e+00, time=2024-09-08 12:44:20 
jj1 = 88, max_th = 2.214011e+00, time=2024-09-08 12:44:33 
jj1 = 208, max_th = 2.321642e+00, time=2024-09-08 12:45:23 
jj1 = 361, max_th = 1.599065e+00, time=2024-09-08 12:45:23 
jj1 = 476, max_th = 1.271329e+00, time=2024-09-08 12:45:42 
jj1 = 169, max_th = 1.386841e+00, time=2024-09-08 12:46:06 
jj1 = 284, max_th = 1.654685e+00, time=2024-09-08 12:46:17 
jj1 = 403, max_th = 1.574495e+00, time=2024-09-08 12:47:39 
jj1 = 325, max_th = 1.572826e+00, time=2024-09-08 12:48:45 
jj1 = 87, max_th = 2.460248e+00, time=2024-09-08 12:49:06 
jj1 = 360, max_th = 1.498018e+00, time=2024-09-08 12:50:09 
jj1 = 402, max_th = 2.809695e+00, time=2024-09-08 12:50:43 
jj1 = 128, max_th = 2.299561e+00, time=2024-09-08 12:52:19 
jj1 = 283, max_th = 1.993620e+00, time=2024-09-08 12:52:56 
jj1 = 168, max_th = 1.701994e+00, time=2024-09-08 12:53:00 
jj1 = 437, max_th = 3.526474e+00, time=2024-09-08 12:53:22 
jj1 = 520, max_th = 1.819586e+00, time=2024-09-08 12:53:46 
jj1 = 282, max_th = 8.458802e-01, time=2024-09-08 12:53:51 
jj1 = 475, max_th = 2.523023e+00, time=2024-09-08 12:54:17 
jj1 = 127, max_th = 9.813653e-01, time=2024-09-08 12:54:52 
jj1 = 242, max_th = 1.532175e+00, time=2024-09-08 12:55:07 
jj1 = 86, max_th = 2.503104e+00, time=2024-09-08 12:57:12 
jj1 = 85, max_th = 3.095238e+00, time=2024-09-08 12:58:12 
jj1 = 167, max_th = 1.341581e+00, time=2024-09-08 12:58:36 
jj1 = 401, max_th = 1.733330e+00, time=2024-09-08 12:58:46 
jj1 = 324, max_th = 1.919248e+00, time=2024-09-08 12:59:10 
jj1 = 281, max_th = 1.377487e+00, time=2024-09-08 12:59:25 
jj1 = 126, max_th = 2.534379e+00, time=2024-09-08 12:59:29 
jj1 = 436, max_th = 2.704665e+00, time=2024-09-08 13:00:12 
jj1 = 323, max_th = 2.880040e+00, time=2024-09-08 13:00:23 
jj1 = 400, max_th = 2.403922e+00, time=2024-09-08 13:02:19 
jj1 = 474, max_th = 2.021962e+00, time=2024-09-08 13:02:20 
jj1 = 280, max_th = 2.735179e+00, time=2024-09-08 13:02:36 
jj1 = 359, max_th = 2.254242e+00, time=2024-09-08 13:04:04 
jj1 = 519, max_th = 1.769973e+00, time=2024-09-08 13:04:54 
jj1 = 241, max_th = 2.160930e+00, time=2024-09-08 13:05:02 
jj1 = 125, max_th = 1.570127e+00, time=2024-09-08 13:05:22 
jj1 = 84, max_th = 1.621207e+00, time=2024-09-08 13:05:33 
jj1 = 207, max_th = 2.631159e+00, time=2024-09-08 13:07:16 
jj1 = 240, max_th = 1.348272e+00, time=2024-09-08 13:08:02 
jj1 = 166, max_th = 2.062934e+00, time=2024-09-08 13:08:37 
jj1 = 239, max_th = 2.960176e+00, time=2024-09-08 13:09:19 
jj1 = 435, max_th = 2.070625e+00, time=2024-09-08 13:09:22 
jj1 = 322, max_th = 2.037457e+00, time=2024-09-08 13:09:43 
jj1 = 124, max_th = 1.032515e+00, time=2024-09-08 13:12:16 
jj1 = 399, max_th = 1.902068e+00, time=2024-09-08 13:12:30 
jj1 = 279, max_th = 1.925597e+00, time=2024-09-08 13:12:37 
jj1 = 358, max_th = 1.689028e+00, time=2024-09-08 13:12:47 
jj1 = 473, max_th = 1.936549e+00, time=2024-09-08 13:12:53 
jj1 = 83, max_th = 2.472842e+00, time=2024-09-08 13:13:23 
jj1 = 518, max_th = 2.272613e+00, time=2024-09-08 13:13:53 
jj1 = 123, max_th = 9.672637e-01, time=2024-09-08 13:15:19 
jj1 = 206, max_th = 2.357070e+00, time=2024-09-08 13:15:40 
jj1 = 434, max_th = 1.471188e+00, time=2024-09-08 13:16:10 
jj1 = 238, max_th = 1.764481e+00, time=2024-09-08 13:16:59 
jj1 = 165, max_th = 2.152749e+00, time=2024-09-08 13:17:24 
jj1 = 321, max_th = 2.197679e+00, time=2024-09-08 13:17:36 
jj1 = 237, max_th = 1.323661e+00, time=2024-09-08 13:18:13 
jj1 = 517, max_th = 1.558148e+00, time=2024-09-08 13:20:24 
jj1 = 278, max_th = 1.538457e+00, time=2024-09-08 13:20:52 
jj1 = 357, max_th = 2.563698e+00, time=2024-09-08 13:21:02 
jj1 = 82, max_th = 2.387734e+00, time=2024-09-08 13:21:35 
jj1 = 433, max_th = 1.753592e+00, time=2024-09-08 13:22:19 
jj1 = 472, max_th = 1.967459e+00, time=2024-09-08 13:23:17 
jj1 = 205, max_th = 2.314442e+00, time=2024-09-08 13:23:57 
jj1 = 516, max_th = 2.493790e+00, time=2024-09-08 13:24:47 
jj1 = 122, max_th = 2.121920e+00, time=2024-09-08 13:25:02 
jj1 = 515, max_th = 2.881494e+00, time=2024-09-08 13:26:01 
jj1 = 164, max_th = 2.004360e+00, time=2024-09-08 13:26:03 
jj1 = 320, max_th = 2.077440e+00, time=2024-09-08 13:26:11 
jj1 = 277, max_th = 2.112119e+00, time=2024-09-08 13:26:57 
jj1 = 432, max_th = 2.398176e+00, time=2024-09-08 13:27:44 
jj1 = 356, max_th = 2.277186e+00, time=2024-09-08 13:29:11 
jj1 = 236, max_th = 1.720481e+00, time=2024-09-08 13:30:04 
jj1 = 81, max_th = 2.172294e+00, time=2024-09-08 13:30:21 
jj1 = 471, max_th = 1.582333e+00, time=2024-09-08 13:32:15 
jj1 = 163, max_th = 1.501221e+00, time=2024-09-08 13:32:25 
jj1 = 514, max_th = 1.762434e+00, time=2024-09-08 13:33:20 
jj1 = 204, max_th = 2.309541e+00, time=2024-09-08 13:33:30 
jj1 = 276, max_th = 2.233927e+00, time=2024-09-08 13:34:38 
jj1 = 470, max_th = 1.449389e+00, time=2024-09-08 13:35:16 
jj1 = 431, max_th = 1.947142e+00, time=2024-09-08 13:35:33 
jj1 = 80, max_th = 1.413977e+00, time=2024-09-08 13:36:17 
jj1 = 121, max_th = 2.022164e+00, time=2024-09-08 13:36:22 
jj1 = 319, max_th = 2.002292e+00, time=2024-09-08 13:36:53 
jj1 = 355, max_th = 2.234443e+00, time=2024-09-08 13:37:16 
jj1 = 469, max_th = 1.028281e+00, time=2024-09-08 13:39:03 
jj1 = 235, max_th = 1.702765e+00, time=2024-09-08 13:40:00 
jj1 = 398, max_th = 1.176814e+00, time=2024-09-08 13:40:01 
jj1 = 513, max_th = 2.312916e+00, time=2024-09-08 13:40:09 
jj1 = 162, max_th = 1.671329e+00, time=2024-09-08 13:40:45 
jj1 = 430, max_th = 1.601880e+00, time=2024-09-08 13:41:15 
jj1 = 234, max_th = 8.441798e-01, time=2024-09-08 13:41:22 
jj1 = 120, max_th = 1.341383e+00, time=2024-09-08 13:41:45 
jj1 = 79, max_th = 1.599054e+00, time=2024-09-08 13:42:26 
jj1 = 318, max_th = 2.689368e+00, time=2024-09-08 13:43:47 
jj1 = 275, max_th = 2.229156e+00, time=2024-09-08 13:45:21 
jj1 = 468, max_th = 2.064775e+00, time=2024-09-08 13:45:38 
jj1 = 161, max_th = 1.562801e+00, time=2024-09-08 13:45:46 
jj1 = 119, max_th = 2.545475e+00, time=2024-09-08 13:45:49 
jj1 = 354, max_th = 2.070124e+00, time=2024-09-08 13:46:57 
jj1 = 512, max_th = 1.619001e+00, time=2024-09-08 13:47:38 
jj1 = 203, max_th = 2.040096e+00, time=2024-09-08 13:48:04 
jj1 = 397, max_th = 2.242643e+00, time=2024-09-08 13:48:11 
jj1 = 233, max_th = 1.641013e+00, time=2024-09-08 13:49:19 
jj1 = 429, max_th = 1.827489e+00, time=2024-09-08 13:50:25 
jj1 = 232, max_th = 2.798156e+00, time=2024-09-08 13:51:06 
jj1 = 317, max_th = 1.851815e+00, time=2024-09-08 13:51:40 
jj1 = 160, max_th = 2.447700e+00, time=2024-09-08 13:51:42 
jj1 = 78, max_th = 2.135109e+00, time=2024-09-08 13:51:51 
jj1 = 353, max_th = 2.286338e+00, time=2024-09-08 13:53:59 
jj1 = 118, max_th = 2.032294e+00, time=2024-09-08 13:54:35 
jj1 = 202, max_th = 2.307143e+00, time=2024-09-08 13:54:40 
jj1 = 77, max_th = 2.723860e+00, time=2024-09-08 13:55:07 
jj1 = 274, max_th = 1.881087e+00, time=2024-09-08 13:55:50 
jj1 = 316, max_th = 2.465746e+00, time=2024-09-08 13:55:53 
jj1 = 76, max_th = 8.761233e-01, time=2024-09-08 13:56:47 
jj1 = 511, max_th = 2.322589e+00, time=2024-09-08 13:57:01 
jj1 = 467, max_th = 2.077857e+00, time=2024-09-08 13:57:07 
