MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 390, max_th = 1.016955e+00, time=2024-09-06 19:27:52 
jj1 = 158, max_th = 2.301715e+00, time=2024-09-06 19:28:15 
jj1 = 389, max_th = 3.233003e+00, time=2024-09-06 19:31:57 
jj1 = 131, max_th = 2.650318e+00, time=2024-09-06 19:32:36 
jj1 = 473, max_th = 7.311018e-01, time=2024-09-06 19:33:30 
jj1 = 437, max_th = 3.006199e+00, time=2024-09-06 19:34:11 
jj1 = 325, max_th = 2.232813e+00, time=2024-09-06 19:36:22 
jj1 = 80, max_th = 2.288218e+00, time=2024-09-06 19:37:05 
jj1 = 283, max_th = 1.636405e+00, time=2024-09-06 19:37:52 
jj1 = 157, max_th = 1.531737e+00, time=2024-09-06 19:38:29 
jj1 = 244, max_th = 1.741733e+00, time=2024-09-06 19:39:37 
jj1 = 79, max_th = 2.587424e+00, time=2024-09-06 19:40:43 
jj1 = 388, max_th = 2.242199e+00, time=2024-09-06 19:42:51 
jj1 = 282, max_th = 4.256416e-01, time=2024-09-06 19:42:55 
jj1 = 436, max_th = 2.247730e+00, time=2024-09-06 19:43:27 
jj1 = 387, max_th = 3.083105e+00, time=2024-09-06 19:44:43 
jj1 = 130, max_th = 2.725706e+00, time=2024-09-06 19:44:53 
jj1 = 156, max_th = 1.533099e+00, time=2024-09-06 19:46:32 
jj1 = 358, max_th = 2.026093e+00, time=2024-09-06 19:49:12 
jj1 = 78, max_th = 2.319093e+00, time=2024-09-06 19:49:45 
jj1 = 199, max_th = 2.417382e+00, time=2024-09-06 19:51:09 
jj1 = 435, max_th = 1.577651e+00, time=2024-09-06 19:51:58 
jj1 = 472, max_th = 1.873386e+00, time=2024-09-06 19:53:26 
jj1 = 129, max_th = 1.085311e+00, time=2024-09-06 19:53:36 
jj1 = 243, max_th = 1.629018e+00, time=2024-09-06 19:55:07 
jj1 = 386, max_th = 1.899602e+00, time=2024-09-06 19:55:51 
jj1 = 155, max_th = 2.375957e+00, time=2024-09-06 19:57:18 
jj1 = 324, max_th = 2.064591e+00, time=2024-09-06 19:58:12 
jj1 = 77, max_th = 1.689046e+00, time=2024-09-06 19:58:33 
jj1 = 434, max_th = 2.244822e+00, time=2024-09-06 20:03:42 
jj1 = 76, max_th = 2.256585e+00, time=2024-09-06 20:05:14 
jj1 = 281, max_th = 2.135315e+00, time=2024-09-06 20:08:55 
jj1 = 357, max_th = 1.957231e+00, time=2024-09-06 20:12:26 
jj1 = 471, max_th = 2.490789e+00, time=2024-09-06 20:12:53 
jj1 = 356, max_th = 2.320249e-01, time=2024-09-06 20:14:08 
jj1 = 355, max_th = -1.522402e+00, time=2024-09-06 20:14:45 
jj1 = 128, max_th = 2.292052e+00, time=2024-09-06 20:14:52 
jj1 = 154, max_th = 3.104083e+00, time=2024-09-06 20:15:14 
jj1 = 433, max_th = 1.812972e+00, time=2024-09-06 20:16:12 
jj1 = 198, max_th = 2.371596e+00, time=2024-09-06 20:20:32 
jj1 = 323, max_th = 2.008332e+00, time=2024-09-06 20:22:35 
jj1 = 242, max_th = 1.992439e+00, time=2024-09-06 20:23:56 
jj1 = 470, max_th = 1.182429e+00, time=2024-09-06 20:25:15 
jj1 = 432, max_th = 1.376207e+00, time=2024-09-06 20:28:21 
jj1 = 469, max_th = 1.432705e+00, time=2024-09-06 20:29:16 
jj1 = 153, max_th = 2.334595e+00, time=2024-09-06 20:29:38 
jj1 = 152, max_th = 4.507363e+00, time=2024-09-06 20:29:45 
jj1 = 75, max_th = 2.080414e+00, time=2024-09-06 20:29:57 
jj1 = 280, max_th = 2.035686e+00, time=2024-09-06 20:33:41 
jj1 = 127, max_th = -1.932778e-01, time=2024-09-06 20:36:14 
jj1 = 126, max_th = -5.544497e-01, time=2024-09-06 20:36:37 
jj1 = 74, max_th = 1.231919e+00, time=2024-09-06 20:37:23 
jj1 = 468, max_th = 1.628775e+00, time=2024-09-06 20:38:46 
jj1 = 354, max_th = 2.309763e+00, time=2024-09-06 20:39:35 
