MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 129, max_th = 2.522765e+00, time=2024-09-06 19:16:37 
jj1 = 279, max_th = 3.166681e+00, time=2024-09-06 19:16:37 
jj1 = 362, max_th = 1.266427e+00, time=2024-09-06 19:17:04 
jj1 = 443, max_th = 1.713400e+00, time=2024-09-06 19:17:34 
jj1 = 395, max_th = 1.859225e+00, time=2024-09-06 19:17:43 
jj1 = 90, max_th = 1.505727e+00, time=2024-09-06 19:19:18 
jj1 = 166, max_th = 2.117370e+00, time=2024-09-06 19:19:19 
jj1 = 322, max_th = 1.305626e+00, time=2024-09-06 19:20:24 
jj1 = 165, max_th = 1.228928e+00, time=2024-09-06 19:23:12 
jj1 = 278, max_th = 1.477220e+00, time=2024-09-06 19:23:21 
jj1 = 128, max_th = 2.689323e+00, time=2024-09-06 19:25:39 
jj1 = 361, max_th = 2.566547e+00, time=2024-09-06 19:26:22 
jj1 = 520, max_th = 1.425395e+00, time=2024-09-06 19:26:57 
jj1 = 442, max_th = 2.025393e+00, time=2024-09-06 19:29:30 
jj1 = 89, max_th = 1.293247e+00, time=2024-09-06 19:29:44 
jj1 = 394, max_th = 2.377342e+00, time=2024-09-06 19:30:19 
jj1 = 321, max_th = 1.938877e+00, time=2024-09-06 19:30:29 
jj1 = 484, max_th = 2.396071e+00, time=2024-09-06 19:30:36 
jj1 = 127, max_th = 1.047941e+00, time=2024-09-06 19:31:34 
jj1 = 277, max_th = 2.428416e+00, time=2024-09-06 19:32:41 
jj1 = 245, max_th = 1.833018e+00, time=2024-09-06 19:34:30 
jj1 = 441, max_th = 1.190518e+00, time=2024-09-06 19:34:31 
jj1 = 320, max_th = 1.079940e-01, time=2024-09-06 19:35:24 
jj1 = 360, max_th = 2.542903e+00, time=2024-09-06 19:36:53 
jj1 = 164, max_th = 1.050804e+00, time=2024-09-06 19:38:17 
jj1 = 209, max_th = 2.069089e+00, time=2024-09-06 19:38:26 
jj1 = 163, max_th = 3.555797e+00, time=2024-09-06 19:39:40 
jj1 = 244, max_th = 1.395779e+00, time=2024-09-06 19:40:16 
jj1 = 276, max_th = 1.444402e+00, time=2024-09-06 19:42:22 
jj1 = 519, max_th = 2.277273e+00, time=2024-09-06 19:42:23 
jj1 = 126, max_th = 2.353716e+00, time=2024-09-06 19:43:43 
jj1 = 440, max_th = 2.538036e+00, time=2024-09-06 19:44:11 
jj1 = 319, max_th = 2.338127e+00, time=2024-09-06 19:44:26 
jj1 = 318, max_th = -4.380322e-01, time=2024-09-06 19:44:34 
jj1 = 208, max_th = 1.481836e+00, time=2024-09-06 19:45:28 
jj1 = 243, max_th = 1.385838e+00, time=2024-09-06 19:47:41 
jj1 = 439, max_th = 1.547165e+00, time=2024-09-06 19:49:52 
jj1 = 518, max_th = 1.476542e+00, time=2024-09-06 19:51:29 
jj1 = 242, max_th = 2.733129e+00, time=2024-09-06 19:52:14 
jj1 = 483, max_th = 2.063356e+00, time=2024-09-06 19:52:55 
jj1 = 162, max_th = 1.928557e+00, time=2024-09-06 19:52:56 
jj1 = 393, max_th = 1.637184e+00, time=2024-09-06 19:52:58 
jj1 = 88, max_th = 2.058110e+00, time=2024-09-06 19:54:16 
jj1 = 275, max_th = 1.824920e+00, time=2024-09-06 19:54:51 
jj1 = 359, max_th = 1.733200e+00, time=2024-09-06 19:55:11 
jj1 = 161, max_th = 1.091508e+00, time=2024-09-06 19:56:36 
jj1 = 207, max_th = 2.332375e+00, time=2024-09-06 19:59:19 
jj1 = 317, max_th = 2.169067e+00, time=2024-09-06 19:59:41 
jj1 = 438, max_th = 2.277851e+00, time=2024-09-06 20:00:14 
jj1 = 125, max_th = 1.808746e+00, time=2024-09-06 20:01:14 
jj1 = 274, max_th = 2.487468e+00, time=2024-09-06 20:02:02 
jj1 = 241, max_th = 1.668109e+00, time=2024-09-06 20:02:09 
jj1 = 160, max_th = 1.637402e+00, time=2024-09-06 20:02:52 
jj1 = 392, max_th = 1.213390e+00, time=2024-09-06 20:03:32 
jj1 = 482, max_th = 2.402634e+00, time=2024-09-06 20:05:06 
jj1 = 391, max_th = 3.045588e+00, time=2024-09-06 20:05:38 
jj1 = 517, max_th = 1.891314e+00, time=2024-09-06 20:07:08 
jj1 = 316, max_th = 2.366895e+00, time=2024-09-06 20:07:31 
jj1 = 206, max_th = 1.848352e+00, time=2024-09-06 20:08:09 
jj1 = 273, max_th = 1.700679e+00, time=2024-09-06 20:08:31 
jj1 = 159, max_th = 2.494023e+00, time=2024-09-06 20:09:12 
jj1 = 358, max_th = 2.349516e+00, time=2024-09-06 20:09:45 
